region,comuna,titulo,fecha,bajada,link,medio
Coquimbo,Coquimbo,"Conservación, desarrollo y conflicto: el eterno debate de la Minera Dominga",2024-12-18,El autor de esta columna escrita para CIPER recorre y analiza el a estas alturas interminable proceso de constantes y sucesivos retrocesos y,https://www.ciperchile.cl/2024/12/18/conservacion-desarrollo-y-conflicto-el-eterno-debate-de-la-minera-dominga/,- CIPER Chile
Coquimbo,Illapel,Cinco nuevos sistemas de reúso de aguas residuales tratadas enfrentan la sequía de la región de Coquimbo,2023-07-09,"Las iniciativas de reúso implementadas en las comunas de Illapel, Monte Patria, La Serena y Vicuña, buscan darle un nuevo uso a efluentes",https://fch.cl/noticias/cinco-nuevos-sistemas-de-reuso-de-aguas-residuales-tratadas-enfrentan-la-sequia-de-la-region-de-coquimbo/,Fundación Chile
Coquimbo,La Higuera,El millonario proyecto minero Dominga vuelve a las manos del Gobierno de Boric,2024-12-10,Un fallo del Tribunal Ambiental anula la decisión del Comité de Ministros de la Administración de izquierdas que en 2023 rechazó y ordena,https://elpais.com/chile/2024-12-10/el-millonario-proyecto-minero-dominga-vuelve-a-las-manos-del-gobierno-de-boric.html,EL PAÍS
Coquimbo,La Higuera,Justicia falla a favor de Dominga y revoca rechazo del Comité de Ministros al controversial proyecto,2024-12-10,El Tribunal Ambiental de Antofagasta acogió la reclamación presentada por Andes Iron SpA. Las organizaciones medioambientales afirmaron que,https://radio.uchile.cl/2024/12/10/tribunal-dejo-sin-efecto-rechazo-del-consejo-de-ministros-al-controversial-proyecto-dominga/,Radio Universidad de Chile
Coquimbo,La Higuera,Crisis en suministro de agua en La Higuera por problemas con tuberías provisorias instaladas,2023-10-14,"En una preocupante notificación, el comité APR de La Higuera ha informado a sus socios, socias y usuarios que las tuberías de alto desempeño",https://www.elcomunal.cl/comunales/2023/10/14/crisis-en-suministro-de-agua-en-la-higuera-por-problemas-con-tuberias-provisorias-instaladas/,El Comunal
Coquimbo,La Serena,"Aquí Coquimbo: guerra santa por el agua, problemas en la UDI y el premio Archipiélago de Humboldt",2024-12-09,"Descubre en esta edición de Aquí Coquimbo los conflictos por el agua en el embalse La Paloma, las tensiones internas en la UDI regional y",https://www.elmostrador.cl/aqui-coquimbo/2024/12/09/aqui-coquimbo-guerra-santa-por-el-agua-problemas-en-la-udi-y-el-premio-archipielago-de-humboldt/,El Mostrador
Coquimbo,La Serena,Desencuentros y mayores exigencias: Aumentan conflictos en concejos municipales en víspera de elecciones,2024-10-04,Mayores son los desencuentros y más compleja es la convivencia entre aquellas autoridades que buscan su reelección o postulan a un nuevo,https://www.diarioeldia.cl/noticias/2024/10/04/123000-desencuentros-y-mayores-exigencias-aumentan-conflictos-en-concejos-municipales-en-vispera-de-elecciones,El Día
Coquimbo,La Serena,Ola de indignación en Chile tras aprobación del proyecto minero y portuario Dominga,2021-09-06,"La comunidad científica y civil, funcionarios de gobiernos y políticos han declarado su indignación tras la aprobación del proyecto minero y",https://es.mongabay.com/2021/08/ola-de-indignacion-en-chile-proyecto-minero-y-portuario-dominga/,Mongabay - Conservation News
Coquimbo,Los Vilos,Chile: proyecto minero en la extracción de cobre avanza con 32 personas demandadas y un amplio prontuario ambiental,2024-04-08,"En 2023 fue aprobado por unanimidad el proyecto Adaptación Operacional de Minera Los Pelambres, que permitirá reubicar las tuberías que",https://es.mongabay.com/2024/03/chile-proyecto-minero-cobre-avanza-personas-demandadas-amplio-prontuario-ambiental/,Mongabay
Coquimbo,Los Vilos,"Demoledor informe de comisión investigadora sobre Aguas San Isidro: incumplimientos reiterados, aguas negras sin tratar e intoxicaciones masivas",2024-07-24,La Cámara Baja entregó sus conclusiones respecto a los distintos conflictos y denuncias en los que se ha visto involucrada la empresa,https://interferencia.cl/articulos/demoledor-informe-de-comision-investigadora-sobre-aguas-san-isidro-incumplimientos,Interferencia |
Coquimbo,Los Vilos,Aprueban conclusiones de comisión investigadora sobre Aguas San Isidro,2024-07-23,"En las propuestas, el informe sugiere a la Superintendencia del área iniciar la evaluación de la caducidad de las concesiones sanitarias de Aguas San Isidro",https://www.davidnoticias.cl/aprueban-conclusiones-de-comision-investigadora-sobre-aguas-san-isidro/,David Noticias
Coquimbo,Los Vilos,Municipalidad de Los Vilos reclama ante el Tribunal Ambiental para que proyecto de extracción de agua de mar ingrese al SEIA,2023-11-09,Compartir. El proyecto tiene por objeto la extracción de un máximo de 7.000 metros cúbicos de agua de mar por día para abastecer procesos,https://www.reporteminero.cl/noticia/noticias/2023/11/municipalidad-los-vilos-reclama-tribunal-ambiental-proyecto-extraccion-agua-mar-ingrese-seia,Reporte Minero
Coquimbo,Los Vilos,CEAZA y municipios de la Región de Coquimbo unen esfuerzos para monitorear la actividad pesquera en medio del cambio climático,2024-05-23,"Pilar Molina, encargada de Transferencia de CEAZA, en reunión con los pescadores artesanales de la Caleta Puerto Oscuro, Canela.7 months ago",https://ceaza.cl/2024/05/23/ceaza-municipios-la-region-coquimbo-unen-esfuerzos-monitorear-la-actividad-pesquera-medio-del-cambio-climatico/,Ceaza
Coquimbo,Monte Patria,Alcalde de Monte Patria en pie de guerra por promesa presidencial incumplida,2024-09-23,"El alcalde oficialista de Monte Patria, Cristián Herrera, está molesto con el Gobierno. Señala que en la región, la promesa del Presidente",https://www.elmostrador.cl/aqui-coquimbo/2024/09/23/al-alcalde-de-monte-patria-en-pie-de-guerra-por-promesa-presidencial-incumplida/,El Mostrador
Coquimbo,Monte Patria,"Sequías, tormentas e inundaciones aumentan la migración climática en América Latina",2024-08-21,El paso del huracán Beryl por el Caribe en julio y su impacto en países insulares fue una muestra de cómo se intensificaron los fenómenos,https://www.aimdigital.com.ar/internacionales/sequas-tormentas-e-inundaciones-aumentan-la-migracin-climtica-en-amrica-latina.htm,AIM Digital
Coquimbo,Monte Patria,El agua marca la desigualdad: La brecha hídrica entre lo rural y lo urbano en la región de Coquimbo,2024-08-27,"La región de Coquimbo se enfrenta a una brecha hídrica entre lo rural y lo urbano, en donde la escasez de agua promueve la migración.4 months ago",https://radiojgm.uchile.cl/el-agua-marca-la-desigualdad-la-brecha-hidrica-entre-lo-rural-y-lo-urbano/,Radio JGM
Coquimbo,Monte Patria,Una advertencia olvidada: Los desplazados por la escasez hídrica en Chile,2024-07-03,"Chile está en el puesto 18 de ""estrés hídrico alto"" en el mundo, siendo el primero en América Latina. Se estima, según el Banco Mundial,",https://eldesconcierto.cl/2024/07/03/una-advertencia-olvidada-los-desplazados-por-la-escasez-hidrica-en-chile,El Desconcierto
Coquimbo,Monte Patria,Construye túneles y madrigueras para anidar: el loro tricahue y su evolución como gran excavador,2024-05-14,"Un reciente estudio publicado en la revista científica Oikos y destacado en portada, abordó la historia evolutiva y cambios de comportamiento en esta",https://laderasur.com/articulo/construye-tuneles-y-madrigueras-para-anidar-el-loro-tricahue-y-su-evolucion-como-gran-excavador/,Ladera Sur
Coquimbo,Monte Patria,Expresan preocupación por contaminación y exposición a riesgos naturales en la comuna de Monte Patria,2024-12-14,"En el Primer Taller de Participación Ciudadana, donde participó IPP UCN quedó en evidencia esta preocupación de la población, actividad que",https://www.noticias.ucn.cl/destacado/expresan-preocupacion-por-contaminacion-y-exposicion-a-riesgos-naturales-en-la-comuna-de-monte-patria/,Universidad Católica del Norte
