id_noticia,id_accion_contenciosa,id_conflicto,fecha,link,medio,tipo_medio,region,columna,localidad_accion,periodo,tipo_energia,subtipo_renovable,tipo_conflicto,tipo_accion,tipo_actor_demandante,actor_demandante,tipo_actor_demandado,actor_demandado,bajada
,,,2023-09-20,https://cauquenesnet.cl/2023/09/13/inundaciones-una-alerta-sobre-grandes-problemas-en-agroecosistemas-y-la-urgencia-de-su-recuperacion/,Cauquenesnet.cl,,Maule,Chanco,,,,,,,,,,,"OPINIÓN: Comenzaba el año y pronósticos de diversas fuentes anunciaban que tendríamos un año lluvioso, pero luego de varios meses habíamos"
,,,2016-05-15,https://cauquenesnet.cl/2016/05/15/chiloe-una-expresion-de-un-problema-estructural/,Cauquenesnet.cl,,Maule,Chanco,,,,,,,,,,,"Los académicos Pilar Muñoz Figueroa y Dr©. Felipe Saravia Cortés, de la Escuela de Trabajo Social de la Universidad Católica del Maule,"
,,,2018-06-17,https://www.elciudadano.com/chile/el-horizonte-de-los-condores-ii-la-disputa-territorial-que-amenaza-la-conectividad-del-maule-sur/05/29/,elciudadano.com,,Maule,Colbún,,,,,,,,,,,"La habilitación de brazos comunicantes con Colbún, Yerbas Buenas y Linares desde la frontera es parte de los compromisos ambientales"
,,,2024-03-21,https://radio.uchile.cl/2024/03/17/no-zona-de-sacrificio-para-colbun-movimiento-ciudadano-levanta-alertas-por-proliferacion-de-proyectos-fotovoltaicos/,Radio Universidad de Chile,,Maule,Colbún,,,,,,,,,,,"AR Panimávida Solar es la planta que pretende emplazarse en 160 hectáreas de terrenos agrícolas y que, según la organización, pone en riesgo"
,,,2017-08-16,https://mma.gob.cl/gobierno-entrega-certificacion-ambiental-a-siete-comunas-de-la-region-del-maule/,mma.gob.cl,,Maule,Colbún,,,,,,,,,,,"En el auditórium del Gobierno Regional del Maule en Talca, se realizó la Ceremonia de Certificación Ambiental Municipal (SCAM).87 months ago"
,,,2024-03-21,https://www.diarioelcentro.cl/2024/03/18/movimiento-ciudadano-de-colbun-advierte-riesgos-en-proliferacion-de-plantas-solares/,Diario El Centro,,Maule,Colbún,,,,,,,,,,,"El movimiento ""No + zonas de sacrificio para Colbún"" acusó que cinco proyectos fotovoltaicos serían emplazados en la comuna, sobre terrenos"
,,,2023-07-21,https://www.theclinic.cl/2023/07/10/proyecto-inmobiliario-lotes-residenciales-cercanias-lago-colbun/,The Clinic,,Maule,Colbún,,,,,,,,,,,La constructora Nuevos Aires busca instalar un proyecto inmobiliario en las cercanías del Lago Colbún en la Región del Maule.16 months ago
,,,2022-11-19,https://resumen.cl/articulos/movimiento-no-a-la-termoelectrica-parral-queremos-cuidar-nuestra-salud-el-medioambiente-y-a-nuestras-familias,Resumen.cl,,Maule,Colbún,,,,,,,,,,,"Nosotras y nosotros, parralinas y vecinos del Maule y 'uble declaramos: La Central Termoeléctrica de biomasa en construcción en la"
,,,2024-07-21,https://www.elciudadano.com/actualidad/comunidad-changa-se-levanta-en-defensa-del-maritorio-contra-proyecto-energetico-de-colbun/07/14/,elciudadano.com,,Maule,Colbún,,,,,,,,,,,"La comunidad de Changos de Paposo se moviliza contra el proyecto energético de COLBÚN, defendiendo la biodiversidad y la cultura ancestral,"
,,,2023-10-21,https://mma.gob.cl/cerca-de-500-kilos-de-residuos-marinos-fueron-recolectados-en-jornada-de-limpieza-de-playas-en-constitucion/,mma.gob.cl,,Maule,Constitución,,,,,,,,,,,Cerca de 500 kilos de residuos marinos fueron recolectados en jornada de limpieza de playas en Constitución.13 months ago
,,,2010-06-11,https://wwf.panda.org/wwf_news/%3F193600/expertointernacionalaplicaevaluacionterremoto,Panda.org,,Maule,Constitución,,,,,,,,,,,"Charles Kelly, con 30 años de experiencia en catástrofes, recorre la zona costera de las regiones del Maule y Bío Bío para identificar los"
,,,2021-11-18,https://www.lemondediplomatique.cl/nueva-constitucion-el-debate-sobre-los-impactos-socio-ambientales-de-la.html,LeMondeDiplomatique.cl,,Maule,Constitución,,,,,,,,,,,El proceso constituyente permite repensar la forma en que nos relacionamos con la naturaleza y debatir sobre nuevas políticas públicas que (
,,,2016-12-15,https://www.elciudadano.com/medio-ambiente/el-agua-se-acaba-en-santa-olga-un-conflicto-ambiental-a-punto-de-estallar/11/29/,elciudadano.com,,Maule,Constitución,,,,,,,,,,,"En una carta abierta, el ingeniero forestal Carlos Reyes denunció una crisis sanitaria y su eventual conexión con ""la actividad"
,,,2020-10-18,https://portal.ucm.cl/ceut/destacados-ceut,Universidad Católica del Maule,,Maule,Constitución,,,,,,,,,,,Proyecto UCM investiga relevancia de las comunidades en el actual contexto socio sanitario. Desde 2014 la Escuela de Sociología de la Universidad Católica
,,,2011-10-12,https://cauquenesnet.cl/2011/09/24/con-carnaval-por-la-tierra-finaliza-programa-ambiental-en-constitucion/,Cauquenesnet.cl,,Maule,Constitución,,,,,,,,,,,Hoy la comuna costera de Constitucioón es escenario de la realización de foros y stands de organizaciones relacionadas al medioambiente de
,,,2022-10-20,https://mma.gob.cl/en-constitucion-se-realizo-exitosa-jornada-de-limpieza-de-playa-para-combatir-la-contaminacion-por-residuos-marinos/,mma.gob.cl,,Maule,Constitución,,,,,,,,,,,En Constitución se realizó exitosa jornada de limpieza de playa para combatir la contaminación por residuos marinos.25 months ago
,,,2018-05-17,https://laderasur.com/destino/los-tesoros-que-alberga-el-nuevo-santuario-de-la-naturaleza-humedales-de-putu/,Ladera Sur,,Maule,Constitución,,,,,,,,,,,"La Región del Maule sumó un nuevo santuario de la naturaleza. Ubicado a 19 kilómetros de Constitución, esta zona alberga una gran diversidad de aves y"
,,,2017-12-16,https://resumen.cl/articulos/planta-valdivia-celulosa-arauco-multada-derrame-al-rio-cruces-2014,Resumen.cl,,Maule,Constitución,,,,,,,,,,,"[resumen.cl] Esta semana, la Superintendencia del Medio Ambiente resolvió sancionar a la empresa Celulosa Arauco y Constitución (grupo"
,,,2016-03-15,https://resumen.cl/articulos/vecinos-denuncian-que-criadero-de-cerdos-de-coexca-busca-operar-ilegalmente-en-sauzal-comuna-de-san-javier,Resumen.cl,,Maule,Constitución,,,,,,,,,,,Por: Alberto Muñoz / resumen.cl La empresa Coexca S. A. pretende instalar en el camino hacia la localidad de Sauzal en la comuna de San
,,,2023-09-20,https://www.indh.cl/indh-de-maule-realizo-en-curico-taller-practico-con-organizaciones-sociales-sobre-la-construccion-del-mapa-de-conflictos-socioambientales/,Instituto Nacional de Derechos Humanos (INDH),,Maule,Curicó,,,,,,,,,,,El INDH realizó esta actividad en la sede de la Universidad Católica del Maule. Forma parte de un ciclo de cuatro encuentros en los que se
,,,2023-12-21,https://g5noticias.cl/2023/11/29/seremi-del-medio-ambiente-del-maule-encabeza-jornada-de-formacion-para-forjadores-ambientales/,G5noticias,,Maule,Curicó,,,,,,,,,,,"Al encuentro asistieron representantes de delegaciones de estudiantes de las provincias de Talca, Curicó, Linares y Cauquenes,"
