title,link,date
Los vecinos mantienen una manifestación hace 15 días para emplazar a la empresa de los Luksic a que asuma su responsabilidad en la,https://interferencia.cl/articulos/video-los-impactos-de-minera-los-pelambres-en-los-vecinos-de-choapa-viejo,hace 46 meses
Más de 400 personas según los organizadores fueron las que se congregaron este martes en plaza de Los Lobos para dar inicio a la marcha que culminó con,https://www.davidnoticias.cl/manifestacion-los-vilos-deja-menor-detenido/,hace 50 meses
Las personas que se mantienen movilizadas exigen una compensación económica por los supuestos efectos del varamiento de la plataforma Belfi,https://losviloschile.cl/actualidad/minera-los-pelambres-tras-bloqueo-de-acceso-a-puerto-punta-chungo-se-descarto-cualquier-impacto-ambiental-en-la-zona/,hace 18 meses
"Caimanes. ¿Qué es eso? Pocos lo saben. Por eso fui junto a mi hija y unos amigos hasta allá: a Caimanes, un pueblo en la comuna de Los Vilos",https://www.ciperchile.cl/2015/01/28/caimanes-el-pueblo-que-la-minera-del-grupo-luksic-dejo-sin-agua/,hace 116 meses
Un nuevo Día de la Mujer se conmemoró este viernes sin mayores alteraciones al orden público. Las manifestaciones ocurrieron a lo largo de,https://laserenaonline.cl/2024/03/09/asi-se-vivio-la-conmemoracion-del-8m-en-distintas-comunas-de-la-region-de-coquimbo/,hace 7 meses
"La comunidad se tomó una de las instalaciones, ya que temen que las napas subterráneas y un pozo estén contaminados, a la luz de un reciente",https://interferencia.cl/articulos/vecinos-de-choapa-viejo-protestan-por-contaminacion-y-minera-los-pelambres-interpone,hace 17 meses
Un grupo de manifestantes provenientes de las tres provincias llegaron hasta la intendencia protestando por lo que califican como mal manejo,https://www.semanariotiempo.cl/protesta-en-contexto-de-sequia-segun-los-manifestantes-la-marcha-por-el-agua-es-un-grito-de-auxilio/,hace 44 meses
"El Gobernador de Choapa, Juan Pablo Galvez, encabezó la primera reunión que sostuvieron dirigentes del movimiento en las oficinas de la Compañía ubicadas",https://www.davidnoticias.cl/movimiento-despierta-los-vilos-los-pelambres-buscan-acercar-posiciones/,hace 50 meses
Comunidades protestaron porque responsabilizan a la Planta Desalinizadora de la sanitaria San Isidro. La diputada Tello estuvo en el lugar y,https://laserenaonline.cl/2023/09/25/comunidades-de-pichidangui-y-quilimari-se-manifiestan-por-altos-niveles-de-salinidad-en-el-agua-potable/,hace 12 meses
Son más de 12 años que la sanitaria San Isidro viene presentando problemas en la calidad del agua potable en el conocido balneario de Pichidagui en la,https://www.davidnoticias.cl/por-dos-horas-vecinos-de-pichidangui-se-toman-ruta-5-norte/,hace 21 meses
