region,comuna,titulo,fecha,bajada,link,medio
Arica y Parinacota,Putre,CONAF entrega capacitación y oportunidades laborales a comunidades andinas de la Biósfera Lauca,3 months ago,"Junto a los niños y niñas de la Escuela San Santiago de Belén, en la precordillera de Putre, la Corporación Nacional Forestal, CONAF,",https://www.conaf.cl/conaf-entrega-capacitacion-y-oportunidades-laborales-a-comunidades-andinas-de-la-biosfera-lauca/,Conaf
Arica y Parinacota,Putre,¡Altiplano en peligro! El territorio que muchos codician y que pocos están cuidando,22 months ago,"No exageramos al decir que parece de otro planeta: no solo por sus paisajes y sus condiciones extremas de altitud, radiación, temperaturas y",https://laderasur.com/articulo/altiplano-en-peligro-el-territorio-que-muchos-codician-y-que-pocos-estan-cuidando/,Ladera Sur
Arica y Parinacota,Putre,INDH Arica y Parinacota presenta recurso de protección por contaminación de planta de procesamiento de minerales abandonada en Putre,44 months ago,La acción judicial del INDH busca proteger los derechos a la integridad física y psíquica de un grupo de 41 personas que habitan en el,https://www.indh.cl/indh-arica-y-parinacota-presenta-recurso-de-proteccion-por-contaminacion-de-planta-de-procesamiento-de-minerales-abandonada-en-putre/,Instituto Nacional de Derechos Humanos
Arica y Parinacota,Putre,#EnCorto: Comunidades aymaras de Chile frenan a la minería en el cerro Anocarire,22 months ago,"Desde 2017, una minera canadiense explora territorios cercanos a la Reserva Nacional Las Vicuñas, en donde se encuentran áreas sagradas para",https://es.mongabay.com/2023/02/en-corto-comunidades-aymaras-frenan-a-la-mineria-en-anocarire/,Mongabay
Arica y Parinacota,Putre,"CDE demanda a Quiborax por 37 años de daño ambiental ""irreparable"" en Salar de Surire",5 months ago,"La compañía señaló a DF que aún no ha sido notificada de la acción judicial y niega los hechos: ""Resulta inverosímil pensar que hemos",https://www.df.cl/empresas/mineria/cde-demanda-a-quiborax-por-dano-ambiental-de-37-anos-e-irreparable-en,Diario Financiero
Arica y Parinacota,Putre,"Aquí Arica: Estado se enfrenta al Estado, directora MOP con licencia en Canadá y accidentes en Putre",2 weeks ago,"En esta edición de Aquí Arica, el CFT Estatal quedó sin sede para 2025 por una expropiación del Minvu, generando un conflicto entre",https://www.elmostrador.cl/aqui-arica/2024/12/17/aqui-arica-estado-se-enfrenta-al-estado-directora-mop-con-licencia-en-canada-y-camiones-en-putre/,El Mostrador
Arica y Parinacota,Putre,Revelan causa de muerte de conscripto en Putre: Informe de la autopsia descarta participación de terceros,7 months ago,"El soldado de 19 años murió tras ser sometido, junto a otros conscriptos, a una caminata en condiciones climáticas extremas,",https://www.cnnchile.com/pais/causa-muerte-conscripto-putre-descarta-participacion-terceros_20240504/,CNN Chile
Arica y Parinacota,Putre,Choquelimpie: la minera en Chile que busca reactivarse en plena Reserva Nacional Las Vicuñas,35 months ago,Ya fueron tomadas 10 mil muestras de perforaciones en la propiedad de la canadiense Norsemont Mining para identificar las zonas,https://es.mongabay.com/2022/01/choquelimpie-la-minera-en-chile-que-busca-reactivarse/,Mongabay - Conservation News
Tarapacá,Alto Hospicio,Gobernador José Miguel Carvajal: “Cambiaremos la manera en la que Iquique y Alto Hospicio tratarán sus residuos domiciliarios”,4 months ago,"Gore y municipios del Área Metropolitana firmaron un convenio que abordará, de manera inédita, la gestión integral de los residuos.4 months ago",https://www.goretarapaca.gov.cl/gobernador-jose-miguel-carvajal-cambiaremos-la-manera-en-la-que-iquique-y-alto-hospicio-trataran-sus-residuos-domiciliarios/,Gobierno Regional de Tarapacá
Tarapacá,Alto Hospicio,Iquique y Alto Hospicio vulnerables: “Es urgente diversificar las fuentes de agua potable”,9 months ago,"En el marco del Día Mundial del Agua, bajo el lema, “Agua para la Paz”, establecido por la ONU, se hace hincapié en la importancia de",https://www.tarapacaonline.cl/2024/03/21/iquique-y-alto-hospicio-vulnerables-es-urgente-diversificar-las-fuentes-de-agua-potable/,Tarapaca Online
