title,link,date,comuna
Organizaciones sociales se manifestaron en el centro de Concepción en torno a la regulación de las denominadas zonas de sacrificio,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2018/09/09/organizaciones-se-manifestaron-contra-el-impacto-de-las-industrias-en-coronel-y-hualpen.shtml,hace 73 meses,Hualpen
[resumen.cl] Centenares de personas se reunieron en Plaza Tribunales y luego marcharon por el centro penquista para exigir protección del,https://resumen.cl/articulos/marcha-contra-intervenciones-en-el-santuario-de-la-naturaleza-de-hualpen-se-desarrollo-en-concepcion,hace 33 meses,Hualpen
[resumen.cl] Desde la madrugada de este viernes que las familias residentes del Fundo Las Escaleras en la comuna de Hualpén se encuentran en,https://resumen.cl/articulos/familias-temen-inminente-desalojo-fundo-las-escaleras-hualpen-vecinos-convocan-manifestarse-apoyo,hace 71 meses,Hualpen
Decenas de trabajadoras/es de la Fundación Ciudad del Niño «Ricardo Espinosa» se encuentran movilizados exigiendo que el,https://resumen.cl/articulos/trabajadores-de-fundacion-ciudad-del-nino-se-movilizan-exigiendo-que-servicio-mejor-ninez-responda-a-problematicas-en-residencia-de-hualpen,hace 14 meses,Hualpen
"La resolución 614 recibió 135 votos a favor, 1 en contra y 1 abstención. El texto acusa los constantes reclamos de los vecinos del sector",https://www.camara.cl/cms/piden-solucionar-malos-olores-por-tratamiento-de-aguas-servidas-en-hualpen/,hace 19 meses,Hualpen
"Essbio anunció un megacorte programado de suministro de agua potable para tres comunas del Gran Concepción. En total, serán 22 los sectores,",https://www.canal9.cl/episodios/2023/12/11/conoce-los-detalles-del-megacorte-de-agua-que-afectara-a-sectores-de-concepcion-hualpen-y-talcahuano,hace 10 meses,Hualpen
"[resumen.cl] Durante la jornada de hoy miércoles 17 de marzo, vecinas y vecinos de Caleta Lenga en la comuna de Hualpén se manifestaron por",https://resumen.cl/articulos/comunidad-de-lenga-se-manifiesta-por-grave-sequia-que-afecta-a-humedal-lenga-en-santuario-peninsula-de-hualpen,hace 43 meses,Hualpen
Desde octubre del año pasado que la comunidad que habita hace mas de medio siglo el fundo Las Escaleras está viviendo un proceso de desalojo,https://radiokurruf.org/2019/01/16/comunicado-de-comunidad-en-resistencia-las-escaleras-frente-al-desabastecimiento-de-agua-por-parte-de-la-municipalidad-de-hualpen/,hace 69 meses,Hualpen
"Este martes 17 de mayo se desarrollo una jornada de movilización social en Lebu, la capital de la Provincia de Arauco, convocada por el",https://resumen.cl/articulos/protestan-en-lebu-por-nulos-avances-en-la-reconstruccion,hace 161 meses,Lebu
Flavio Araneda Hidalgo / resumen.cl Los pescadores artesanales de Lebu se encuentran movilizados para exigir al Estado que cumpla con los,https://resumen.cl/articulos/fotos-pescadores-lebu-presionan-la-reineta-se-declarada-altamente-migratoria,hace 85 meses,Lebu
"A Jorge Garrido reconstructor del movimiento obrero en la zona del carbón, dirigente minero de Lebu Por: resumen.cl (*) A fines de la",https://resumen.cl/articulos/la-reconstruccion-del-movimiento-sindical-en-dictadura,hace 101 meses,Lebu
[resumen.cl] Este jueves se llevó a cabo una nueva jornada de protesta por parte de pescadores de Lebu. Se organizaron para transitar,https://resumen.cl/articulos/pescadores-de-lebu-en-pie-de-guerra-para-que-la-reineta-sea-declarada-especie-migratoria,hace 84 meses,Lebu
"A Jorge Garrido reconstructor del movimiento obrero en la zona del carbón, dirigente minero de Lebu Por: resumen.cl (*) A fines de la",https://resumen.cl/articulos/la-reconstruccion-del-movimiento-sindical-en-dictadura,hace 101 meses,Lebu
"[resumen.cl] Un número no determinado de trabajadores de la Mina Trinidad ubicada a 4km al suroeste de Lebu, en el sector El Diezmo,",https://resumen.cl/articulos/mineros-se-toman-mina-trinidad-en-lebu-protestando-por-sueldos-impagos,hace 107 meses,Lebu
"A Jorge Garrido reconstructor del movimiento obrero en la zona del carbón, dirigente minero de Lebu Por: resumen.cl (*) A fines de la",https://resumen.cl/articulos/la-reconstruccion-del-movimiento-sindical-en-dictadura,hace 101 meses,Lebu
"[resumen.cl] El primer Primero de Mayo que los trabajadores conmemoraron en la calles, tras el golpe militar de 1973, fue el de 1978,",https://resumen.cl/articulos/primero-de-mayo-durante-la-dictadura-profunda,hace 41 meses,Lebu
